,PLATFRMID,NAME,STATUS,OPERNAME,COMMODITY,LATITUDE,LONGITUDE,age,WATERDEPTH,DISTLAND,REGION,kmeans_3_label,kmeans_4_label,kmeans_5_label,kmeans_6_label,kmeans_7_label
0,GOM00005,CAIS.#21(PLF.CF,IN SERVICE,CHEVRON USA INC.,BOTH,28.89890326,-90.5044168323,26.442162902121837,55,11,GULF OF MEXICO,1,0,0,0,0
1,GOM00007,E-1,IN SERVICE,"W & T OFFSHORE, INC.",NONE,29.0623297969,-91.2971779914,46.24503764544832,15,7,GULF OF MEXICO,2,2,2,1,1
2,GOM00012,E,IN SERVICE,"W & T OFFSHORE, INC.",NONE,29.1202421396,-91.1792256304,26.245037645448324,12,7,GULF OF MEXICO,2,2,1,3,5
3,GOM00014,"11""A""",IN SERVICE,"WHITNEY OIL & GAS, LLC",NONE,28.9601772535,-89.2747337103,27.633127994524298,82,4,GULF OF MEXICO,2,2,1,3,6
4,GOM00015,D,IN SERVICE,ANKOR ENERGY LLC,BOTH,28.6067977977,-92.0736007322,26.01779603011636,136,61,GULF OF MEXICO,0,3,3,5,2
5,GOM00016,C,IN SERVICE,FIELDWOOD ENERGY OFFSHORE LLC,BOTH,28.2733023227,-91.8661036455,26.321697467488026,228,76,GULF OF MEXICO,1,0,0,0,0
6,GOM00017,JB,IN SERVICE,"ARENA OFFSHORE, LP",BOTH,28.8479373092,-90.5241017623,26.22861054072553,64,14,GULF OF MEXICO,0,1,4,2,3
7,GOM00023,F,IN SERVICE,"ENERGY XXI GOM, LLC",BOTH,28.1615965314,-92.989493274,26.90485968514716,248,100,GULF OF MEXICO,2,2,1,3,6
8,GOM00024,196,IN SERVICE,"EPL OIL & GAS, INC.",BOTH,29.2951620964,-91.8761503051,26.305270362765228,23,12,GULF OF MEXICO,0,1,2,1,1
9,GOM00026,A,IN SERVICE,"TRANSCONTINENTAL GAS PIPE LINE CO., LLC",UNKNOWN,29.3476619562,-88.1133126503,25.905544147843944,282,53,GULF OF MEXICO,1,0,0,0,0
10,GOM00027,14,IN SERVICE,FIELDWOOD ENERGY LLC,NONE,28.9885034104,-91.4492390386,26.138261464750173,37,20,GULF OF MEXICO,0,1,2,2,3
11,GOM00031,A,IN SERVICE,"EPL OIL & GAS, INC.",UNKNOWN,29.9032767794,-88.4848403777,26.2943189596167,99,19,GULF OF MEXICO,1,0,0,0,0
12,GOM00035,#2,IN SERVICE,"PETROQUEST ENERGY, LLC",UNKNOWN,28.7665549291,-93.4477280436,26.16290212183436,95,66,GULF OF MEXICO,0,1,2,1,1
13,GOM00036,D,IN SERVICE,"PETROQUEST ENERGY, LLC",NATURAL GAS,28.7666764175,-93.447867918,15.619438740588638,95,66,GULF OF MEXICO,0,3,3,5,2
14,GOM00038,B,IN SERVICE,FIELDWOOD ENERGY OFFSHORE LLC,BOTH,28.5107931555,-90.6787007595,26.19301848049281,110,36,GULF OF MEXICO,0,1,2,1,1
15,GOM00039,A,IN SERVICE,"W & T OFFSHORE, INC.",NATURAL GAS,28.9998529177,-89.7368284093,26.11362080766598,140,19,GULF OF MEXICO,2,2,1,3,5
16,GOM00041,A-GENESIS SPAR,IN SERVICE,CHEVRON USA INC.,BOTH,27.7795236114,-90.5189753758,25.35523613963039,2590,60,GULF OF MEXICO,1,0,0,0,0
17,GOM00043,A,IN SERVICE,"ENTERPRISE FIELD SERVICES, LLC",BOTH,27.9440307967,-92.8773836764,25.678302532511974,443,113,GULF OF MEXICO,1,0,0,0,0
18,GOM00044,B,IN SERVICE,ATP OIL & GAS CORP.,UNKNOWN,28.2566345064,-95.5653229399,26.1492128678987,116,31,GULF OF MEXICO,2,2,1,3,5
19,GOM00045,CAIS.#198,IN SERVICE,CHEVRON USA INC.,NONE,29.3446591463,-91.9972198919,26.217659137577,17,12,GULF OF MEXICO,0,3,3,5,2
20,GOM00047,A,IN SERVICE,FIELDWOOD ENERGY LLC,BOTH,28.8834178227,-92.9866449713,25.56605065023956,86,52,GULF OF MEXICO,0,1,4,4,4
21,GOM00052,A-CINNAMON,IN SERVICE,APACHE CORP.,UNKNOWN,27.8765491002,-91.8729513414,25.180013689253936,670,98,GULF OF MEXICO,0,3,3,5,2
22,GOM00053,12,IN SERVICE,FIELDWOOD ENERGY LLC,NONE,29.2164031819,-91.5922132018,26.023271731690624,21,15,GULF OF MEXICO,1,0,0,0,6
23,GOM00061,B,IN SERVICE,"ENVEN ENERGY VENTURES, LLC",NONE,28.4503610695,-93.2204432255,25.919233401779604,157,85,GULF OF MEXICO,2,2,1,3,5
24,GOM00067,A (VIRGO),IN SERVICE,"W & T ENERGY VI, LLC",BOTH,29.1821502831,-88.1677490563,24.197125256673512,1130,50,GULF OF MEXICO,1,0,0,0,0
25,GOM00069,E,IN SERVICE,TALOS ENERGY OFFSHORE LLC,NONE,28.8396959836,-90.6337562295,25.09240246406571,61,25,GULF OF MEXICO,1,0,0,0,0
26,GOM00070,15,IN SERVICE,FIELDWOOD ENERGY LLC,BOTH,28.9835417578,-91.45031898,25.95208761122519,35,20,GULF OF MEXICO,2,2,1,3,5
27,GOM00072,JA,IN SERVICE,"FAIRWAYS OFFSHORE EXPLORATION, INC.",UNKNOWN,29.2290739623,-94.4645441667,25.82614647501711,52,17,GULF OF MEXICO,2,2,1,3,5
28,GOM00077,A,IN SERVICE,"ENVEN ENERGY VENTURES, LLC",BOTH,28.7194429799,-91.3256475348,25.5523613963039,66,32,GULF OF MEXICO,1,0,0,0,0
29,GOM00081,B,IN SERVICE,FIELDWOOD ENERGY OFFSHORE LLC,BOTH,28.5159010624,-90.2775196855,25.83983572895277,110,37,GULF OF MEXICO,1,0,0,0,0
30,GOM00082,CAIS.#33,IN SERVICE,FIELDWOOD ENERGY LLC,BOTH,28.979414822,-91.4844266439,25.905544147843944,41,22,GULF OF MEXICO,2,2,1,3,6
31,GOM00083,33 AUX,IN SERVICE,FIELDWOOD ENERGY LLC,UNKNOWN,28.9793295744,-91.4844265127,13.776865160848734,41,22,GULF OF MEXICO,1,0,0,0,0
32,GOM00084,CAIS.#1,IN SERVICE,FIELDWOOD ENERGY LLC,BOTH,28.926823676,-91.7530684969,25.516769336071185,64,35,GULF OF MEXICO,2,2,1,3,5
