,PLATFRMID,NAME,STATUS,OPERNAME,COMMODITY,LATITUDE,LONGITUDE,INSTALL,REMOVAL,WATERDEPTH,DISTLAND,REGION,age,kmeans_label,ahc_label,dbscan_label
0,GOM00001,1,REMOVED,"MERIT ENERGY CO., LLC",NONE,29.4751448832,-93.8130031241,1998-01-05 00:00:00+00:00,2010/06/09 00:00:00+00,38,12,GULF OF MEXICO,25.880903490759753,0,1,0
1,GOM00002,C,REMOVED,APACHE CORP.,NONE,29.1753931703,-94.3719668304,1997-02-28 00:00:00+00:00,2013/08/08 00:00:00+00,54,23,GULF OF MEXICO,26.732375085557837,0,1,0
2,GOM00003,1,REMOVED,"CAIRN ENERGY USA, INC.",NONE,28.9541660185,-93.0147565168,1997-08-26 00:00:00+00:00,2003/06/29 00:00:00+00,76,50,GULF OF MEXICO,26.24229979466119,0,1,0
3,GOM00004,9,REMOVED,APACHE CORP.,NONE,29.0683064761,-89.795079994,1997-07-22 00:00:00+00:00,2007/11/04 00:00:00+00,97,15,GULF OF MEXICO,26.338124572210816,0,1,0
4,GOM00005,CAIS.#21(PLF.CF,IN SERVICE,CHEVRON USA INC.,BOTH,28.89890326,-90.5044168323,1997-06-19 00:00:00+00:00,,55,11,GULF OF MEXICO,26.428473648186174,0,1,0
5,GOM00006,B,REMOVED,WALTER OIL & GAS CORP.,NONE,29.1157744585,-88.768342948,1997-08-15 00:00:00+00:00,2009/09/26 00:00:00+00,283,16,GULF OF MEXICO,26.272416153319643,0,1,0
6,GOM00007,E-1,IN SERVICE,"W & T OFFSHORE, INC.",NONE,29.0623297969,-91.2971779914,1977-08-30 00:00:00+00:00,,15,7,GULF OF MEXICO,46.23134839151266,2,1,0
7,GOM00008,F,REMOVED,"W & T OFFSHORE, INC.",NONE,29.1245644681,-91.1884704249,1997-08-30 00:00:00+00:00,2010/11/28 00:00:00+00,15,7,GULF OF MEXICO,26.23134839151266,0,1,0
8,GOM00009,D,REMOVED,"MARINER ENERGY, INC.",NONE,28.2939859775,-93.9763083798,1997-08-13 00:00:00+00:00,2008/09/29 00:00:00+00,187,93,GULF OF MEXICO,26.27789185489391,0,1,0
9,GOM00010,6,REMOVED,"W & T OFFSHORE, INC.",NONE,28.8535730447,-92.1423568874,1997-07-20 00:00:00+00:00,2009/07/19 00:00:00+00,93,50,GULF OF MEXICO,26.34360027378508,0,1,0
10,GOM00011,A,REMOVED,"PETROQUEST ENERGY, LLC",NONE,29.1395424982,-92.9897078633,1997-08-05 00:00:00+00:00,2003/09/23 00:00:00+00,70,52,GULF OF MEXICO,26.299794661190965,0,1,0
11,GOM00012,E,IN SERVICE,"W & T OFFSHORE, INC.",NONE,29.1202421396,-91.1792256304,1997-08-30 00:00:00+00:00,,12,7,GULF OF MEXICO,26.23134839151266,0,1,0
12,GOM00013,7,REMOVED,"ENVEN ENERGY VENTURES, LLC",NONE,29.2651850306,-91.5708902687,1996-10-11 00:00:00+00:00,2011/07/21 00:00:00+00,13,15,GULF OF MEXICO,27.11567419575633,0,1,0
13,GOM00014,"11""A""",IN SERVICE,"WHITNEY OIL & GAS, LLC",NONE,28.9601772535,-89.2747337103,1996-04-10 00:00:00+00:00,,82,4,GULF OF MEXICO,27.619438740588638,0,1,0
